epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.7374,0.9252,0.97273,1,0.15898,0.000410156,0.000410156,0.000410156
2,20.8787,0.2531,0.96364,1,0.08942,0.000663112,0.000663112,0.000663112
3,27.3481,0.19728,0.97273,1,0.0499,0.000751068,0.000751068,0.000751068
4,33.2515,0.15116,0.98182,1,0.06545,0.0005075,0.0005075,0.0005075
5,38.9117,0.15536,0.97273,1,0.08384,0.00026,0.00026,0.00026
