epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.2116,0.93362,0.96364,1,0.14717,0.000410156,0.000410156,0.000410156
2,68.0784,0.2517,0.96364,1,0.08453,0.000663112,0.000663112,0.000663112
3,103.143,0.21321,0.99091,1,0.0372,0.000751068,0.000751068,0.000751068
